Model,Year,Fuel_Type,Transmission,DoorsNum,Condition,Color,Cruise,Leather_Seats,Heated_Seats,Navigation,Owners,Insurance,Service_History,Safety,Premium_Sound,Multimedia,Bluetooth,Wheel,Sunroof,Warranty,TAge,Price,Cylinder_Numbers,Credit_History,Engine_Size,Weight,carlength,carwidth,monthly_mileage,peakrpm,Estimated_Mileage
Nissan Altima,2007,Petrol,Manual,4,Good,Brown,No,No,No,Yes,3,Comprehensive,Partial Service,3 stars,Yes,No,Yes,Forged,Yes,31,2,11132.04624,two,-0.002916937,1.643691118,3545.676986,206.6,62.8,2308.039499,4434,27696.47399
Honda CR-V,2007,Petrol,Manual,4,Fair,Yellow,No,No,No,No,22,No insurance,No Service,Not rated/Unknown,No,No,No,Chrome,No,11,2,6215.600907,two,-0.006017066,2.104220211,3895.034062,159.1,68,3645.122273,4725,43741.46727
Nissan Altima,2006,Petrol,Manual,4,Good,Yellow,No,No,No,No,22,No insurance,No Service,Not rated/Unknown,Yes,No,No,Chrome,No,33,50,7194.814238,two,0.018522782,1.842404334,3417.654607,148.1,69.1,3178.559414,6094,38142.71297
Nissan Altima,2004,Petrol,Manual,4,Good,Brown,No,No,No,Yes,22,Collision,No Service,Not rated/Unknown,Yes,No,No,Steel,No,16,3,8336.324772,three,-0.000134972,2.160061292,3658.987756,141,67.3,2902.292287,4588,34827.50744
Chevrolet Volt,2010,Hybrid,Manual,4,Good,Brown,No,No,Yes,Yes,22,Collision,Full Service,1 star,No,No,No,Forged,Yes,9,2,16954.01848,six,-0.010577109,2.496291747,3567.352481,189.2,69.6,1559.48279,4884,18713.79348
Honda CR-V,2007,Petrol,Manual,4,Fair,Yellow,No,No,No,No,3,No insurance,Partial Service,1 star,No,No,No,Steel,No,25,4,5236.110595,three,0.008225449,1.820945003,2984.806234,196,60.5,3553.861466,5265,42646.33759
Toyota Tundra,2015,Petrol,Manual,4,Fair,Brown,No,No,Yes,Yes,22,Third Party,Partial Service,4 stars,Yes,No,Yes,Chrome,Yes,17,2,16901.89411,four,-0.012208436,2.455371919,3349.244479,191.8,61.8,1694.721878,5652,20336.66253
Honda CR-V,2007,Petrol,Manual,4,Fair,Black,No,No,No,No,22,No insurance,No Service,Not rated/Unknown,Yes,No,No,Alloy,No,25,2,5309.093596,two,0.002088636,2.27495051,3169.090133,181.6,73,3592.844123,5523,43114.12948
Toyota Tundra,2016,Hybrid,Manual,2,Good,Brown,Y,Yes,Yes,Yes,22,Comprehensive,Partial Service,4 stars,No,No,No,Forged,No,32,1,25029.64758,five,-0.019596701,2.378586175,3630.20176,173.8,72.6,989.7489575,4861,11876.98749
Chevrolet Volt,2014,Hybrid,Manual,4,Excellent,Brown,No,No,No,Yes,1,Comprehensive,Full Service,4 stars,No,Yes,Yes,Chrome,Yes,11,1,22769.75887,six,-0.01328186,2.647494054,3489.085834,193.9,65.8,1279.829382,4983,15357.95258
Ford Escape,2016,Hybrid,Manual,2,Good,Beige,Y,No,Yes,Yes,1,Comprehensive,Full Service,5 stars,No,Yes,No,Chrome,Yes,6,2,21307.52124,four,0.001968612,1.918063431,3493.16069,200.7,61.7,1285.51215,5891,15426.1458
Nissan GT-R,2012,Electric,Manual,4,Good,Brown,No,No,No,Yes,4,Collision,Full Service,1 star,No,No,No,Hubcaps,Yes,30,2,10683.04468,two,0.007384666,2.391369283,3540.160247,160.1,68,2742.866713,4517,32914.40055
Chevrolet Volt,2012,Electric,Automatic,4,Good,Brown,Y,No,Yes,Yes,22,Collision,Partial Service,1 star,No,No,No,Hubcaps,Yes,14,2,15069.70412,two,0.001713683,3.022291564,3424.797445,180,69,1733.573334,6395,20802.88001
Nissan Altima,2008,Petrol,Manual,4,Good,Yellow,No,No,No,Yes,22,No insurance,Partial Service,1 star,Yes,No,Yes,Hubcaps,No,23,2,9363.389295,three,-0.001156483,2.403173291,2952.284202,170.5,63.7,2750.493024,4437,33005.91629
Ford Escape,2004,Hybrid,Automatic,2,Excellent,Brown,Y,No,No,Yes,1,Third Party,Full Service,4 stars,Yes,No,No,Chrome,Yes,7,1,23862.49493,three,-0.003011037,2.825679896,3529.75298,205.8,70.1,1120.331978,6038,13443.98374
Ford Fusion,2011,Electric,Manual,2,Excellent,Brown,Y,Yes,No,Yes,22,Comprehensive,Full Service,4 stars,Yes,No,No,Hubcaps,No,10,1,30400.59573,two,-0.01478522,3.205906511,2777.970291,170,70.3,729.6824649,6272,8756.189579
Chevrolet Volt,2008,Petrol,Manual,4,Good,Brown,No,No,No,Yes,22,Collision,No Service,1 star,No,No,No,Forged,No,21,2,9989.167361,three,-0.007198442,2.065852695,3456.104218,208.4,68.5,2724.049278,4790,32688.59134
Ford Fusion,2012,Hybrid,Automatic,2,Good,Brown,Y,No,No,Yes,1,Third Party,Full Service,5 stars,Yes,No,No,Chrome,No,17,1,20754.45624,two,-0.004606388,2.640116111,3412.50613,151.9,60.7,1538.585378,6384,18463.02454
Toyota Tundra,2013,Hybrid,Manual,2,Good,Brown,Y,Yes,No,Yes,1,Comprehensive,Partial Service,5 stars,No,No,No,Hubcaps,No,17,1,27234.56699,three,0.010571222,2.595104959,3828.946082,166.2,65.5,649.5860981,6524,7795.033177
Ford Escape,2019,Hybrid,Automatic,2,Good,Brown,Y,No,Yes,Yes,1,Comprehensive,Full Service,5 stars,No,Yes,Yes,Chrome,No,16,2,25672.08395,five,0.003436183,2.586748085,3100.605858,198.8,64.8,1114.07011,5366,13368.84132
Nissan Altima,2004,Petrol,Manual,4,Good,Yellow,No,No,No,No,4,Collision,No Service,Not rated/Unknown,No,No,No,Chrome,No,25,50,7934.378347,three,-0.017630402,2.6557587,3752.06295,162.7,67.6,3135.053516,5495,37620.64219
Nissan Altima,2007,Petrol,Manual,4,Good,Brown,No,No,No,No,4,Collision,No Service,1 star,Yes,No,No,Chrome,No,24,3,9642.217663,three,0.00324084,2.372128751,2789.038798,150.8,72.1,2832.35825,5481,33988.299
Nissan GT-R,2012,Petrol,Manual,4,Good,Yellow,No,No,No,Yes,4,No insurance,No Service,2 stars,Yes,No,No,Steel,No,26,4,9719.279604,three,-0.003850823,1.543119165,3138.438824,149.3,72.2,2867.915046,4259,34414.98055
Nissan GT-R,2010,Petrol,Manual,4,Fair,Brown,No,No,No,Yes,4,Comprehensive,No Service,3 stars,Yes,No,No,Hubcaps,Yes,12,2,11907.37117,three,-0.00676922,1.915677815,3311.1714,203.9,66.3,2457.486103,6531,29489.83323
Toyota Tundra,2013,Electric,Automatic,4,Good,Brown,Y,No,Yes,Yes,1,No insurance,Full Service,4 stars,Yes,No,No,Alloy,No,31,1,27042.23934,six,0.006116763,2.345463463,3551.548162,202.9,66.3,924.7105508,4799,11096.52661
Honda CR-V,2004,Petrol,Manual,4,Fair,Black,No,No,No,No,22,No insurance,No Service,1 star,No,No,Yes,Hubcaps,No,7,2,6058.198029,two,0.010309995,2.174331109,3387.808651,163.5,67.4,3256.848668,6270,39082.18402
Chevrolet Bolt,2018,Electric,Manual,4,Good,Brown,Y,No,Yes,Yes,4,Third Party,Partial Service,Not rated/Unknown,No,No,Yes,Hubcaps,Yes,12,3,15888.82778,five,0.009312801,2.359656497,3565.228905,194,63.2,1815.993908,4895,21791.9269
Nissan GT-R,2009,Electric,Manual,4,Good,Yellow,No,No,No,No,22,Third Party,Partial Service,Not rated/Unknown,Yes,No,No,Chrome,Yes,12,4,10611.43708,two,-0.008392175,2.133285113,3466.51857,166.7,69.1,2613.773427,5063,31365.28112
Ford Escape,2016,Electric,Manual,4,Good,Silver,No,No,No,Yes,1,Comprehensive,Full Service,5 stars,Yes,No,No,Steel,No,11,1,22980.66426,five,-0.003092124,2.711899986,3606.562719,197,61.9,1183.016218,4301,14196.19462
Nissan Altima,2004,Petrol,Manual,4,Good,Black,No,No,No,Yes,4,Third Party,No Service,2 stars,No,No,Yes,Chrome,No,9,4,8850.085108,two,0.003312634,2.752414273,2999.991308,160.7,66.4,3037.658088,5405,36451.89705
Ford Escape,2019,Electric,Automatic,2,Good,Brown,No,No,Yes,Yes,1,Comprehensive,Partial Service,Not rated/Unknown,Yes,No,Yes,Forged,No,7,1,20079.54441,three,0.009755451,2.001674352,3382.00781,157.8,61.2,1414.208943,4175,16970.50731
Ford Escape,2020,Hybrid,Automatic,4,Excellent,Brown,No,No,No,Yes,3,Collision,Full Service,5 stars,Yes,No,Yes,Steel,Yes,22,1,22812.49223,six,-0.004791742,3.05946865,4000.417816,180.4,71.5,1161.688758,6263,13940.2651
Nissan Altima,2007,Petrol,Manual,4,Good,Black,No,No,No,No,22,No insurance,No Service,2 stars,No,No,No,Steel,Yes,13,50,10747.75347,two,-0.00185659,1.823131457,3432.214488,208.7,72,2940.021743,6596,35280.26092
Toyota Tundra,2013,Electric,Automatic,4,Excellent,Brown,Y,No,No,Yes,1,Collision,Full Service,5 stars,Yes,No,Yes,Steel,No,10,2,23434.65848,four,-0.01106335,1.571171535,3226.121233,170.1,70.2,986.7725317,4164,11841.27038
Ford Escape,2003,Hybrid,Automatic,4,Good,Beige,No,Yes,No,Yes,1,Comprehensive,Full Service,4 stars,Yes,Yes,No,Chrome,Yes,15,1,24137.76955,five,-0.011962066,2.725331668,3105.779877,191.9,67.3,1305.883368,6527,15670.60041
Ford Fusion,2010,Electric,Manual,2,Good,Brown,Y,No,Yes,Yes,3,Third Party,Full Service,4 stars,Yes,No,No,Chrome,No,21,2,21772.28288,six,0.008125258,2.530352877,3543.972049,173,69.6,1239.192086,4691,14870.30503
Nissan Altima,2004,Petrol,Manual,4,Fair,Brown,No,No,No,No,22,No insurance,Full Service,4 stars,No,No,Yes,Hubcaps,No,7,4,9955.615436,two,0.0135624,1.915018758,3498.577766,192.5,68.5,2859.481968,4372,34313.78361
Ford Escape,2014,Electric,Automatic,2,Good,Silver,No,No,No,Yes,22,Third Party,Partial Service,4 stars,Yes,Yes,No,Chrome,No,29,1,24333.09852,three,-0.000720101,2.923658992,3339.697548,165.1,70.7,992.6687392,6499,11912.02487
Ford Escape,2018,Hybrid,Manual,2,Fair,Brown,Y,No,Yes,Yes,1,Collision,Partial Service,4 stars,Yes,No,No,Chrome,No,24,2,20851.26188,two,0.010035329,1.527981781,3488.777999,202.9,64.8,1232.108596,5767,14785.30315
Nissan Altima,2006,Petrol,Manual,4,Good,Brown,No,No,No,No,22,Comprehensive,Full Service,1 star,No,No,Yes,Hubcaps,No,12,2,10947.77076,three,0.00361636,2.415157265,3472.161543,146.6,61.6,2630.266938,6303,31563.20325
Nissan Altima,2008,Petrol,Manual,4,Good,Brown,No,No,No,No,22,No insurance,Partial Service,Not rated/Unknown,No,No,No,Chrome,No,7,2,7515.852114,3,-0.006451198,1.645120815,3270.921494,193.3,63.7,3288.506518,4787,39462.07821
Chevrolet Bolt,2018,Hybrid,Manual,4,Good,Brown,No,No,Yes,Yes,1,Third Party,Full Service,5 stars,No,No,Yes,Alloy,No,18,2,21405.69539,3,0.003613956,2.766432337,3382.444991,190.8,64,1419.405664,4873,17032.86797
Toyota Prius,2010,,Manual,2,Good,Black,No,No,No,Yes,22,Comprehensive,Full Service,4 stars,No,No,Yes,Steel,No,28,1,27645.81083,six,0.015380366,2.189206136,3494.744603,193.1,61.1,973.8704775,6175,11686.44573
Toyota Tundra,2013,Hybrid,Automatic,2,Good,Silver,Y,Yes,No,Yes,1,Comprehensive,No Service,4 stars,No,No,Yes,Alloy,Yes,9,1,44939.40152,six,-0.00035826,2.732431236,3606.889574,177.5,68,321.0108375,6427,3852.13005
Ford Escape,2004,Petrol,Manual,2,Good,Brown,No,No,Yes,Yes,4,Collision,Partial Service,Not rated/Unknown,No,No,No,Forged,No,21,3,17397.46714,3,0.015646437,1.963911378,3071.445076,194.1,69.7,1905.191215,6244,22862.29458
Toyota Corolla,2021,Hybrid,Automatic,4,Good,Black,Y,Yes,Yes,Yes,1,Collision,Full Service,2 stars,No,No,Yes,Hubcaps,No,15,1,25744.88919,five,-0.026197451,2.569267019,3730.608012,160.6,66.6,970.5205567,5368,11646.24668
Ford Escape,2019,Hybrid,Automatic,4,Excellent,Brown,No,No,No,Yes,1,Comprehensive,Full Service,1 star,Yes,Yes,Yes,Forged,No,22,1,30134.88897,3,0.008219025,2.562720187,3593.479553,208.1,69.6,710.2543187,5898,8523.051824
Chevrolet Volt,2009,Hybrid,Automatic,4,Fair,Brown,No,No,Yes,Yes,3,Third Party,Partial Service,2 stars,No,No,No,Forged,Yes,26,2,17564.03015,six,0.000870471,1.989522,2803.795695,175.2,68.2,1965.649583,5955,23587.795
Nissan Altima,2005,Petrol,Manual,4,Fair,Yellow,No,No,No,No,3,No insurance,No Service,Not rated/Unknown,No,No,Yes,Alloy,No,33,2,9895.472426,3,-0.002990074,1.630938471,3389.673398,205.6,69.5,3070.115776,6531,36841.38931
Nissan Altima,2002,Petrol,Manual,4,Good,Black,No,No,No,No,3,Collision,No Service,Not rated/Unknown,No,No,No,Steel,No,19,4,7983.764711,3,0.000917608,2.095349889,3482.946153,165.8,65.6,2905.799288,6285,34869.59146
Nissan Altima,2003,Petrol,Manual,4,Fair,Brown,No,No,No,No,3,Collision,No Service,2 stars,Yes,No,No,Chrome,No,17,50,7541.387867,3,-0.019875689,1.496722888,3315.628174,168.7,72.7,3416.050833,4260,40992.61
Toyota Tundra,2016,Hybrid,Automatic,2,Excellent,Brown,Y,Yes,Yes,Yes,1,Comprehensive,Full Service,5 stars,Yes,Yes,Yes,Chrome,No,18,2,27151.92293,four,-0.002196719,2.834483855,3703.274985,164.5,71.4,1088.277417,4831,13059.329
Chevrolet Impala,2007,Hybrid,Automatic,4,Good,Brown,Y,No,No,Yes,3,Comprehensive,Partial Service,4 stars,No,No,Yes,Steel,Yes,14,1,15965.7534,3,0.003571126,2.322068305,3377.30555,164.3,63.8,1983.014346,4921,23796.17215
Toyota Corolla,2019,Hybrid,Manual,4,Good,Silver,Y,No,No,Yes,3,Third Party,Full Service,4 stars,No,Yes,No,Chrome,No,25,3,23231.12206,four,0.01477894,2.358882398,3966.668132,178.9,69.5,1030.24578,4952,12362.94936
Toyota Tundra,2013,Hybrid,Automatic,2,Good,Black,Y,No,No,Yes,1,Comprehensive,Partial Service,4 stars,No,Yes,Yes,Forged,No,13,2,26315.95413,six,-0.005182702,3.125034155,3458.279387,192.4,70.5,871.991275,5690,10463.8953
Chevrolet Volt,2010,Electric,Manual,4,Excellent,Silver,Y,No,Yes,Yes,4,Third Party,Partial Service,2 stars,Yes,No,No,Chrome,No,22,2,20059.10194,3,-0.008084936,2.050850342,3607.075504,192.3,67.1,1028.821162,6550,12345.85394
Chevrolet Volt,2014,Hybrid,Manual,4,Fair,Brown,Y,No,Yes,Yes,3,Collision,Partial Service,4 stars,No,No,Yes,Forged,Yes,23,3,19577.14767,3,-0.00501757,2.426191539,3494.593143,147.2,64.6,1189.243033,5873,14270.91639
Chevrolet Bolt,2017,Petroll,Manual,4,Good,Brown,Y,No,No,Yes,22,Third Party,Full Service,4 stars,Yes,No,No,Chrome,No,26,2,18298.96785,six,0.009154021,2.541764838,3381.256505,168.3,67.7,1970.413606,4448,23644.96327
Chevrolet Volt,2009,Electric,Manual,4,Good,Brown,Y,No,Yes,Yes,4,Comprehensive,Partial Service,2 stars,Yes,No,Yes,Steel,No,15,2,20661.37763,four,0.003287511,2.472690957,3366.571282,177.2,63.1,1582.728441,4934,18992.74129
Nissan GT-R,2016,Petrol,Manual,4,Good,Yellow,No,No,No,Yes,22,Comprehensive,Full Service,Not rated/Unknown,No,No,Yes,Alloy,Yes,31,3,11265.87263,two,-0.005297602,1.604850612,3111.879325,148.4,61.9,2474.450544,5366,29693.40653
Honda CR-V,2003,Petrol,Manual,4,Good,Brown,No,No,No,No,22,No insurance,No Service,Not rated/Unknown,Yes,No,No,Alloy,No,33,4,6068.392643,two,0.005132674,1.754652727,3079.74131,203.6,65.2,3136.562943,4921,37638.75531
Honda CR-V,2003,Petrol,Manual,4,Good,Yellow,No,No,No,No,4,Collision,No Service,1 star,No,No,Yes,Steel,No,18,2,7868.309316,two,0.000970775,1.475366193,3420.824867,145.3,68.4,3086.596168,4338,37039.15402
Chevrolet Volt,2013,Hybrid,Manual,4,Good,Black,No,No,Yes,Yes,3,No insurance,Partial Service,1 star,Yes,No,Yes,Chrome,Yes,7,3,14738.2596,five,0.00968645,2.291728189,3967.379514,196.7,67.9,2082.832588,5401,24993.99105
Honda CR-V,2008,Petrol,Manual,4,Fair,Brown,No,No,No,No,4,No insurance,Partial ,Not rated/Unknown,Yes,No,No,Chrome,No,32,2,4666.986889,two,-0.007020531,2.04071363,3452.117359,169.2,64.2,3957.134353,5844,47485.61224
Honda CR-V,2008,Petrol,Manual,4,Fair,Brown,No,No,No,No,22,No insurance,No Service,1 star,Yes,No,No,Alloy,No,22,50,7583.396223,3,-0.003276621,1.94423818,3487.973693,171.8,61.9,3166.459132,6549,37997.50958
Chevrolet Volt,2012,Petrol,Manual,4,Good,Silver,No,No,No,Yes,22,Comprehensive,Partial ,2 stars,No,No,No,Chrome,Yes,11,2,15899.79549,two,-0.003921082,2.133642282,3440.787067,191.1,61.6,2023.695624,5483,24284.34749
Honda CR-V,2006,Petrol,Manual,4,Fair,Yellow,No,No,No,No,3,No insurance,Partial ,1 star,Yes,No,Yes,Steel,No,17,4,3527.516896,3,-0.014635149,1.87085957,3481.015833,144.2,68.9,3862.301138,6456,46347.61365
Toyota Prius,2009,Hybrid,Automatic,4,Good,Brown,No,No,Yes,Yes,1,Collision,Full Service,4 stars,Yes,Yes,Yes,Chrome,No,34,2,24370.51996,six,0.002961203,2.270419663,3819.598904,161,61.9,808.6747329,4986,9704.096795
Ford Escape,2020,Electric,Automatic,4,Good,Silver,No,Yes,Yes,Yes,1,Third Party,Full Service,4 stars,No,No,No,Forged,No,18,1,28914.66699,four,0.002610553,2.235887295,3962.419169,201.9,65.7,1271.775286,5442,15261.30343
Ford Escape,2003,Hybrid,Automatic,2,Excellent,Brown,No,Yes,No,Yes,1,Collision,Full Service,5 stars,Yes,No,No,Chrome,Yes,33,2,22770.11268,six,5.11E-05,2.730333843,3800.936716,161.3,62.1,848.7560308,5510,10185.07237
Chevrolet Volt,2011,Petrol,Automatic,4,Good,Black,No,No,No,Yes,3,Comprehensive,No Service,3 stars,Yes,No,Yes,Hubcaps,No,31,4,12674.33479,two,-0.002345871,1.9382209,3100.533654,188.6,68.4,2354.358521,6159,28252.30225
Nissan Altima,2007,Petrol,Manual,4,Good,Black,No,No,No,No,22,Third Party,No Service,2 stars,No,No,No,Chrome,No,9,2,9265.589335,two,-0.014153707,2.264883389,3324.487408,206.1,70.2,2885.424685,4464,34625.09622
Chevrolet Volt,2010,Electric,Automatic,2,Fair,Brown,Y,No,No,Yes,22,Collision,Full Service,4 stars,No,No,No,Alloy,No,20,3,17442.93314,five,-0.004206453,1.947560274,3499.621888,151,71.7,1914.309873,4592,22971.71847
Nissan Altima,2003,Petrol,Manual,4,Good,Yellow,No,No,No,Yes,22,Third Party,Full Service,1 star,No,No,No,Alloy,No,21,3,9195.881555,two,-0.003427145,1.815069676,3400.913552,144.7,71.4,2845.91973,4312,34151.03676
Ford Fusion,2012,Hybrid,Automatic,2,Good,Beige,Y,No,No,Yes,22,Third Party,Full Service,5 stars,Yes,No,Yes,Alloy,No,26,2,21123.55425,4,-0.008022773,2.695149031,3308.20235,205.3,66.2,1476.227744,4547,17714.73293
Chevrolet Volt,2011,Petrol,Manual,4,Good,Brown,Y,No,No,Yes,22,Comprehensive,Full Service,Not rated/Unknown,Yes,No,Yes,Chrome,Yes,24,2,15984.91393,3,-0.001612857,2.217526419,3321.824746,185,61.3,2023.926419,4526,24287.11703
Toyota Tundra,2015,Electric,Automatic,2,Good,Black,No,No,No,Yes,1,Third Party,Full Service,5 stars,Yes,No,No,Forged,No,20,2,29638.66749,five,0.004040509,2.348314422,3789.211857,152.5,60.5,771.0022423,4721,9252.026908
